metric,iris,ai_global_index,global_earthquake
custom_silhouette,0.580184463257396,0.39055786868805126,0.10514999377137528
custom_davies_bouldin,0.597554665080988,0.9836961179811506,2.226371427145883
custom_calinski_harabasz,248.90342786485118,28.81840457748625,7.961169890339371
custom_adjusted_rand_score,0.5681159420289855,0.0663286356186126,-1.0
custom_adjusted_mutual_info_score,0.7315847607219574,0.21103061255492483,-1.0
custom_mutual_info_score,0.6365141682948121,0.24926884464057059,-1.0
sklearn_silhouette,0.580184463257396,0.46053468403671155,0.15693115344349792
sklearn_davies_bouldin,0.597554665080988,0.7097542737066148,1.8955405391979854
sklearn_calinski_harabasz,248.90342786485118,46.202890389568914,9.545272669671919
sklearn_adjusted_rand_score,0.5681159420289855,0.01656113771331844,-1.0
sklearn_adjusted_mutual_info_score,0.7315847607219574,0.11192847802484816,-1.0
sklearn_mutual_info_score,0.6365141682948121,0.17453907715676317,-1.0
